t_s,eta,masa
2,1.401500,2.457749e-03
62,0.470700,2.256790e-03
122,0.233600,1.987362e-03
182,0.133700,1.726826e-03
242,0.088600,1.492078e-03
302,0.066300,1.286672e-03
362,0.053400,1.107943e-03
422,0.044600,9.541116e-04
482,0.037800,8.216208e-04
542,0.032400,7.069140e-04
602,0.027800,6.082128e-04
662,0.023900,5.237388e-04
720,,5.000000e-04
