fecha,experimento,hora,,co2,ch4
2025-09-09,4,16:35:47,,1554,21000
2025-09-09,4,16:36:17,,1576,21900
2025-09-09,4,16:36:47,,1595,22700
2025-09-09,4,16:37:17,,1336,4300
,,,,,
2025-09-09,,16:37:47,,865,0
2025-09-09,,16:38:17,,841,0
2025-09-09,,16:38:47,,818,0
2025-09-09,,16:39:17,,799,0
2025-09-09,,16:39:47,,781,0
2025-09-09,,16:40:17,,771,0
2025-09-09,,16:40:47,,769,0
2025-09-09,,16:41:17,,771,0
2025-09-09,,16:41:47,,789,0
2025-09-09,,16:42:18,,880,0
2025-09-09,,16:42:47,,917,0
2025-09-09,,16:43:18,,923,0
2025-09-09,,16:43:48,,941,0
2025-09-09,,16:44:18,,966,600
2025-09-09,,16:44:47,,984,1400
2025-09-09,,16:45:18,,1012,2200
2025-09-09,,16:45:47,,1040,3200
2025-09-09,,16:46:18,,1063,4000
2025-09-09,,16:46:48,,1094,4400
2025-09-09,,16:47:18,,1138,4800
2025-09-09,,16:47:48,,1174,5400
2025-09-09,,16:48:18,,1212,5900
2025-09-09,,16:48:48,,1240,6400
2025-09-09,,16:49:18,,1280,7000
2025-09-09,,16:49:48,,1319,7500
2025-09-09,,16:50:18,,1355,8000
2025-09-09,,16:50:48,,1397,8500
2025-09-09,,16:51:18,,1440,9000
2025-09-09,,16:51:48,,1478,9500
2025-09-09,,16:52:18,,1507,10000
2025-09-09,,16:52:48,,1540,10400
2025-09-09,,16:53:18,,1566,11000
2025-09-09,,16:53:48,,1592,11600
2025-09-09,,16:54:18,,1626,12100
2025-09-09,,16:54:48,,1654,12600
2025-09-09,,16:55:18,,1681,13100
2025-09-09,,16:55:48,,1714,13500
2025-09-09,,16:56:18,,1741,14000
2025-09-09,,16:56:48,,1768,14400
2025-09-09,,16:57:18,,1793,14900
2025-09-09,,16:57:48,,1825,15500
2025-09-11,,09:44:52,,400,0
2025-09-11,,09:45:22,,868,0
2025-09-11,,09:45:52,,868,0
2025-09-11,,09:46:22,,868,0
2025-09-11,,09:46:52,,872,0
2025-09-11,,09:47:22,,883,0
2025-09-11,,09:47:52,,878,0
2025-09-11,,09:48:22,,858,0
2025-09-11,,09:48:52,,873,0
2025-09-11,,09:49:22,,951,0
2025-09-11,,09:49:52,,981,0
2025-09-11,,09:50:22,,924,0
2025-09-11,,09:50:52,,899,0
2025-09-11,,09:51:22,,932,0
2025-09-11,,09:51:52,,902,0
2025-09-11,,09:52:22,,1007,0
2025-09-11,,09:52:52,,1174,3400
2025-09-11,,09:53:22,,1364,5700
2025-09-11,,09:53:52,,1590,7600
2025-09-11,,09:54:22,,1922,9200
2025-09-11,,09:54:53,,2387,10500
2025-09-11,,09:55:22,,2838,11800
