dia,dieta,gas_tipo,tasa_neta
9,0,0,603.9491880053488
9,0,1,0.0
9,1,0,182.10595756206095
9,1,1,0.0
11,0,0,275.60447139056805
11,0,1,2371.553950420677
11,1,0,352.83617767169414
11,1,1,1173.9566489312188
13,0,0,127.50791674254184
13,0,1,0.0
13,1,0,95.42656599282279
13,1,1,26.11353794063848
17,1,0,0.0
17,1,1,1577.1014101000483
